time|temperature|acceleration|magnetic|gyro|euler|quaternion|linear_acceleration|gravity
2023-04-21 13:01:41.455328|30|(-0.46, -0.11, 9.72)|(-27.1875, 2.25, -8.25)|(0.0, -0.00545415391248228, 0.001090830782496456)|(359.9375, -2.125, 0.6875)|(0.99981689453125, -0.0064697265625, 0.0186767578125, 0.000244140625)|(0.04, -0.01, -0.13)|(-0.34, -0.12, 9.790000000000001)
2023-04-21 13:01:41.774297|30|(-0.33, -0.05, 9.700000000000001)|(-36.375, 5.0, -16.25)|(0.0, 0.00545415391248228, 0.001090830782496456)|(359.9375, -2.0, 0.6875)|(0.99981689453125, -0.00640869140625, 0.01763916015625, 0.000244140625)|(-0.27, 0.01, -0.04)|(-0.34, -0.12, 9.790000000000001)
2023-04-21 13:01:41.954517|30|(-0.43, -0.11, 9.65)|(-33.0, 7.5, -16.75)|(0.002181661564992912, -0.04145156973486533, 0.002181661564992912)|(359.9375, -1.75, 0.6875)|(0.9998779296875, -0.00640869140625, 0.0150146484375, 0.000244140625)|(-0.01, 0.06, -0.13)|(-0.29, -0.12, 9.8)
2023-04-21 13:01:42.182754|30|(-0.34, -0.17, 9.71)|(-26.875, 6.75, -13.5625)|(0.00545415391248228, -0.011999138607461015, -0.002181661564992912)|(359.9375, -1.625, 0.6875)|(0.9998779296875, -0.00640869140625, 0.0142822265625, 0.000244140625)|(0.06, -0.15, -0.11)|(-0.28, -0.12, 9.8)
2023-04-21 13:01:42.377870|30|(-0.39, 0.03, 9.52)|(-30.5625, 4.5625, -13.1875)|(0.008726646259971648, 0.004363323129985824, -0.002181661564992912)|(359.9375, -1.625, 0.6875)|(0.9998779296875, -0.00653076171875, 0.01434326171875, 0.000244140625)|(-0.09, -0.07, -0.1)|(-0.28, -0.12, 9.8)
2023-04-21 13:01:42.627137|30|(-0.39, -0.21, 9.73)|(-32.75, 8.5625, -14.75)|(0.007635815477475192, 0.001090830782496456, 0.0)|(359.9375, -1.625, 0.75)|(0.9998779296875, -0.006591796875, 0.0142822265625, 0.000244140625)|(-0.14, 0.03, -0.02)|(-0.28, -0.12, 9.8)
2023-04-21 13:01:42.856849|30|(-0.27, -0.15, 9.64)|(-32.375, 7.5, -18.375)|(-0.003272492347489368, 0.0, 0.001090830782496456)|(359.9375, -1.6875, 0.75)|(0.9998779296875, -0.006591796875, 0.01470947265625, 0.000244140625)|(0.03, -0.02, 0.01)|(-0.3, -0.12, 9.8)
2023-04-21 13:01:43.063038|30|(-0.42, -0.09, 9.67)|(-36.0625, 5.5625, -17.5)|(0.001090830782496456, -0.004363323129985824, -0.001090830782496456)|(359.9375, -1.75, 0.75)|(0.9998779296875, -0.00677490234375, 0.015380859375, 0.000244140625)|(-0.03, 0.11, -0.18)|(-0.31, -0.13, 9.8)
2023-04-21 13:01:43.324800|30|(-0.52, 0.0, 9.49)|(-30.0625, 2.25, -12.0)|(-0.006544984694978736, -0.017453292519943295, -0.002181661564992912)|(359.9375, -1.8125, 0.75)|(0.99981689453125, -0.00689697265625, 0.01611328125, 0.000244140625)|(-0.04, 0.03, -0.1)|(-0.3, -0.13, 9.8)
2023-04-21 13:01:43.515080|30|(-0.42, -0.1, 9.67)|(-35.5625, 6.0, -17.1875)|(0.003272492347489368, -0.03490658503988659, 0.001090830782496456)|(359.9375, -1.625, 0.75)|(0.9998779296875, -0.00689697265625, 0.01416015625, 0.000244140625)|(-0.05, 0.0, -0.16)|(-0.28, -0.13, 9.8)
2023-04-21 13:01:43.760921|30|(-0.28, -0.13, 9.68)|(-35.75, 7.0625, -17.75)|(-0.001090830782496456, -0.003272492347489368, 0.001090830782496456)|(359.9375, -1.625, 0.75)|(0.9998779296875, -0.00689697265625, 0.0142822265625, 0.000244140625)|(-0.13, 0.0, -0.12)|(-0.28, -0.13, 9.8)
2023-04-21 13:01:43.936378|30|(-0.37, -0.13, 9.68)|(-36.1875, 6.0, -18.5625)|(-0.001090830782496456, -0.00545415391248228, -0.002181661564992912)|(359.9375, -1.5625, 0.75)|(0.9998779296875, -0.00689697265625, 0.01416015625, 0.000244140625)|(-0.03, 0.03, -0.14)|(-0.27, -0.13, 9.8)
