time|pid_servo_Kp|pid_servo_Ki|pid_servo_Kd|pid_servo_setpoint|pid_servo_measured_value|pid_servo_actuated_value|pid_motor_Kp|pid_motor_Ki|pid_motor_Kd|pid_motor_setpoint|pid_motor_measured_value|pid_motor_actuated_value
2023-04-21 13:01:34.441892|3.5|0|0.5|0|0.0625|0.0|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:34.450864|3.5|0|0.5|0|0.0625|0.0|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:34.453208|3.5|0|0.5|0|0.0625|0.0|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:34.455495|3.5|0|0.5|0|0.0625|0.0|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:34.458107|3.5|0|0.5|0|0.0625|0.0|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:34.460706|3.5|0|0.5|0|0.0625|0.0|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:34.500199|3.5|0|0.5|0|0.0625|0.0|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:34.509404|3.5|0|0.5|0|0.0625|-0.5062906545680306|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:34.517763|3.5|0|0.5|0|0.0625|-0.5062906545680306|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:34.547781|3.5|0|0.5|0|0.0625|-0.5062906545680306|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:44.868092|3.5|0|0.5|0|0.0625|-0.5062906545680306|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:44.914542|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:44.924355|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:44.949481|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:44.957674|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:44.990844|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:44.993810|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.010275|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.014414|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.028069|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.032095|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.081904|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.108940|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.122925|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.144494|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.169421|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.178956|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.207381|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.211670|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.230862|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.251269|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.270031|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.289959|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.298263|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.312938|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.321726|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.346961|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.383949|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.401168|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.425970|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.449607|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:01:45.480537|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
