time|uptime|CPU1|CPU2|CPU3|CPU4|RAM|SWAP|EMC|IRAM|GPU|APE|APE_MASTER|NVDEC|NVENC|NVJPG|SE|VIC03|Fan tegra_pwmfan0|Temp AO|Temp CPU|Temp GPU|Temp PLL|Temp thermal|Power thermal|Power TOT|jetson_clocks|nvp model
2023-04-21 13:01:35.206227|3:13:58.740000|91|87|87|90|0.5364890896818789|0.0|0|0.0|48.6|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|50.0|44.0|41.0|42.0|42.75|1443|0|OFF|MAXN
2023-04-21 13:01:37.054302|3:14:00.740000|83|79|81|82|0.5387110600917363|0.0|0|0.0|43.5|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|50.5|44.0|41.0|42.0|42.75|1588|0|OFF|MAXN
2023-04-21 13:01:39.016770|3:14:02.750000|78|82|80|78|0.5389071452853336|0.0|0|0.0|18.5|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|50.5|44.0|41.0|42.0|42.5|1588|0|OFF|MAXN
2023-04-21 13:01:42.044476|3:14:05.760000|77|74|79|76|0.5382548417769851|0.0|0|0.0|48.0|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|50.5|44.0|41.0|42.0|42.5|1443|0|OFF|MAXN
2023-04-21 13:01:45.012753|3:14:08.770000|77|74|80|72|0.5388174781867539|0.0|0|0.0|68.1|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|51.0|44.0|41.0|42.5|42.75|1443|0|OFF|MAXN
