time|position
2023-04-21 12:58:07.097888|0
2023-04-21 12:58:07.104612|0
2023-04-21 12:58:07.119094|0
2023-04-21 12:58:07.167221|0
2023-04-21 12:58:07.186411|0
2023-04-21 12:58:07.223557|0
2023-04-21 12:58:07.269842|0
2023-04-21 12:58:07.284033|0
2023-04-21 12:58:07.291264|0
2023-04-21 12:58:07.302767|0
2023-04-21 12:58:07.331334|0
2023-04-21 12:58:07.352571|0
2023-04-21 12:58:07.376944|0
2023-04-21 12:58:07.418087|0
2023-04-21 12:58:07.424470|0
2023-04-21 12:58:07.432621|0
2023-04-21 12:58:07.467180|0
2023-04-21 12:58:07.472058|0
2023-04-21 12:58:07.480477|0
2023-04-21 12:58:07.493295|0
2023-04-21 12:58:07.503915|0
2023-04-21 12:58:07.510214|0
2023-04-21 12:58:07.522719|0
2023-04-21 12:58:07.538546|0
2023-04-21 12:58:07.546136|0
2023-04-21 12:58:07.558148|0
2023-04-21 12:58:07.559210|0
2023-04-21 12:58:07.584882|0
2023-04-21 12:58:07.597429|0
2023-04-21 12:58:07.620162|0
2023-04-21 12:58:07.647232|0
2023-04-21 12:58:07.654306|0
2023-04-21 12:58:07.684191|0
2023-04-21 12:58:07.690602|0
2023-04-21 12:58:07.703796|0
2023-04-21 12:58:07.720826|0
2023-04-21 12:58:07.732284|0
2023-04-21 12:58:07.744280|0
2023-04-21 12:58:07.750867|0
2023-04-21 12:58:07.764332|0
2023-04-21 12:58:07.778088|0
2023-04-21 12:58:07.783884|0
2023-04-21 12:58:07.789724|0
2023-04-21 12:58:07.804263|0
2023-04-21 12:58:07.810222|0
2023-04-21 12:58:07.821686|0
2023-04-21 12:58:07.837601|0
2023-04-21 12:58:07.843509|0
2023-04-21 12:58:07.859535|0
2023-04-21 12:58:07.901090|0
2023-04-21 12:58:07.918025|0
2023-04-21 12:58:07.929534|0
2023-04-21 12:58:07.946508|0
2023-04-21 12:58:07.954272|0
2023-04-21 12:58:07.966352|0
2023-04-21 12:58:07.974323|0
2023-04-21 12:58:07.980391|0
2023-04-21 12:58:07.990897|0
2023-04-21 12:58:08.017269|0
2023-04-21 12:58:08.023930|0
2023-04-21 12:58:08.032618|0
2023-04-21 12:58:08.053552|0
2023-04-21 12:58:08.066476|0
2023-04-21 12:58:08.074260|0
2023-04-21 12:58:08.089146|0
2023-04-21 12:58:08.102594|0
2023-04-21 12:58:08.114186|0
2023-04-21 12:58:08.124768|0
2023-04-21 12:58:08.142015|0
2023-04-21 12:58:08.153545|0
2023-04-21 12:58:08.168572|0
2023-04-21 12:58:08.223517|0
2023-04-21 12:58:08.236642|0
2023-04-21 12:58:08.275418|0
2023-04-21 12:58:08.289697|0
2023-04-21 12:58:08.306851|0
2023-04-21 12:58:08.313333|0
2023-04-21 12:58:08.345358|0
2023-04-21 12:58:08.354292|0
2023-04-21 12:58:08.360322|0
2023-04-21 12:58:08.379622|0
2023-04-21 12:58:08.396101|0
2023-04-21 12:58:08.440741|0
2023-04-21 12:58:08.457489|0
2023-04-21 12:58:08.464292|0
2023-04-21 12:58:08.470879|0
2023-04-21 12:58:08.483433|0
2023-04-21 12:58:08.499847|0
2023-04-21 12:58:08.523369|0
2023-04-21 12:58:08.560013|0
2023-04-21 12:58:08.574286|0
2023-04-21 12:58:08.580552|0
2023-04-21 12:58:08.595334|0
2023-04-21 12:58:08.604296|0
2023-04-21 12:58:08.611437|0
2023-04-21 12:58:08.624264|0
2023-04-21 12:58:08.635128|0
2023-04-21 12:58:08.653148|0
2023-04-21 12:58:08.670566|0
2023-04-21 12:58:08.681420|0
2023-04-21 12:58:08.693696|0
2023-04-21 12:58:08.701403|0
2023-04-21 12:58:08.713478|0
2023-04-21 12:58:08.725009|0
2023-04-21 12:58:08.731225|0
2023-04-21 12:58:08.743302|0
2023-04-21 12:58:08.751148|0
2023-04-21 12:58:08.762702|0
2023-04-21 12:58:08.775772|0
2023-04-21 12:58:08.789417|0
2023-04-21 12:58:08.804277|0
2023-04-21 12:58:08.818028|0
2023-04-21 12:58:08.824258|0
2023-04-21 12:58:08.835809|0
2023-04-21 12:58:08.853741|0
2023-04-21 12:58:08.869382|0
2023-04-21 12:58:08.893327|0
2023-04-21 12:58:08.903564|0
2023-04-21 12:58:08.917423|0
2023-04-21 12:58:08.924309|0
2023-04-21 12:58:08.934542|0
2023-04-21 12:58:08.942805|0
2023-04-21 12:58:08.955277|0
2023-04-21 12:58:08.969056|0
2023-04-21 12:58:08.998166|0
2023-04-21 12:58:09.019322|0
2023-04-21 12:58:09.033744|0
2023-04-21 12:58:09.048234|0
2023-04-21 12:58:09.066178|0
2023-04-21 12:58:09.086548|0
2023-04-21 12:58:09.094409|0
2023-04-21 12:58:09.102175|0
2023-04-21 12:58:09.112077|0
2023-04-21 12:58:09.124289|0
2023-04-21 12:58:09.133971|0
2023-04-21 12:58:09.160589|0
2023-04-21 12:58:09.173222|0
2023-04-21 12:58:09.184028|0
2023-04-21 12:58:09.214040|0
2023-04-21 12:58:09.230620|0
2023-04-21 12:58:09.241630|0
2023-04-21 12:58:09.261363|0
2023-04-21 12:58:09.285099|0
2023-04-21 12:58:09.313027|0
2023-04-21 12:58:09.330210|0
2023-04-21 12:58:09.459769|0
2023-04-21 12:58:09.472854|0
2023-04-21 12:58:09.488458|0
2023-04-21 12:58:09.509824|0
2023-04-21 12:58:09.522724|0
2023-04-21 12:58:09.589383|0
2023-04-21 12:58:09.608417|0
2023-04-21 12:58:09.623774|0
2023-04-21 12:58:09.637184|0
2023-04-21 12:58:09.662603|0
2023-04-21 12:58:09.670799|0
2023-04-21 12:58:09.688425|0
2023-04-21 12:58:09.705947|0
2023-04-21 12:58:09.713711|0
2023-04-21 12:58:09.721220|0
2023-04-21 12:58:09.731464|0
2023-04-21 12:58:09.746309|0
2023-04-21 12:58:09.763948|0
2023-04-21 12:58:09.775315|0
2023-04-21 12:58:09.783567|0
2023-04-21 12:58:09.795881|0
