time|pid_servo_Kp|pid_servo_Ki|pid_servo_Kd|pid_servo_setpoint|pid_servo_measured_value|pid_servo_actuated_value|pid_motor_Kp|pid_motor_Ki|pid_motor_Kd|pid_motor_setpoint|pid_motor_measured_value|pid_motor_actuated_value
2023-04-21 13:07:15.894925|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:15.908378|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:15.921672|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:15.936926|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:15.952146|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:15.970631|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:15.985106|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:15.998303|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.011155|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.025454|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.043917|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.062465|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.080670|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.101182|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.114629|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.129095|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.142969|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.162908|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.176431|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.202196|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.216479|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.235026|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.248902|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.267843|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.286975|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.305910|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.329185|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.346598|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.354630|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.379842|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.407175|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.436176|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.470764|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.483593|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.517083|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.530642|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.551461|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.565320|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.591221|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.609931|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.625784|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.650569|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.664318|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.692072|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.701445|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.720988|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.742860|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.760347|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.774348|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.819438|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.841143|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.864643|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.886876|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.903807|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.924611|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.939257|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.959746|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:16.997202|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:17.012698|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:17.022248|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:17.037098|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:17.052108|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:17.064547|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:17.095394|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:07:17.130034|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
