time|uptime|CPU1|CPU2|CPU3|CPU4|RAM|SWAP|EMC|IRAM|GPU|APE|APE_MASTER|NVDEC|NVENC|NVJPG|SE|VIC03|Fan tegra_pwmfan0|Temp AO|Temp CPU|Temp GPU|Temp PLL|Temp thermal|Power thermal|Power TOT|jetson_clocks|nvp model
2023-04-21 13:07:06.101743|3:19:29.100000|84|79|90|87|0.5418760130657773|0.0|0|0.0|31.9|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|53.0|46.0|42.5|44.5|44.5|1732|0|OFF|MAXN
2023-04-21 13:07:08.355635|3:19:32.100000|70|66|68|69|0.5414601942130234|0.0|0|0.0|9.0|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|53.0|46.0|43.0|44.0|44.5|1299|0|OFF|MAXN
2023-04-21 13:07:09.332491|3:19:33.100000|64|69|63|75|0.5431126307439906|0.0|0|0.0|10.8|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|52.5|46.0|43.0|44.0|44.5|1299|0|OFF|MAXN
2023-04-21 13:07:10.366064|3:19:34.110000|75|75|71|69|0.5432781700029068|0.0|0|0.0|21.6|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|53.0|45.5|42.5|44.0|44.5|1299|0|OFF|MAXN
2023-04-21 13:07:11.397198|3:19:35.110000|72|75|75|69|0.5436821646228809|0.0|0|0.0|34.8|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|52.5|46.0|42.5|44.0|44.5|1443|0|OFF|MAXN
2023-04-21 13:07:13.451846|3:19:37.110000|69|73|73|70|0.5426455735491913|0.0|0|0.0|16.3|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|53.0|46.0|42.5|44.0|44.5|1299|0|OFF|MAXN
2023-04-21 13:07:15.381278|3:19:39.110000|67|70|75|73|0.543211166017155|0.0|0|0.0|52.5|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|53.0|45.5|43.0|44.0|44.5|1443|0|OFF|MAXN
