time|uptime|CPU1|CPU2|CPU3|CPU4|RAM|SWAP|EMC|IRAM|GPU|APE|APE_MASTER|NVDEC|NVENC|NVJPG|SE|VIC03|Fan tegra_pwmfan0|Temp AO|Temp CPU|Temp GPU|Temp PLL|Temp thermal|Power thermal|Power TOT|jetson_clocks|nvp model
2023-04-21 13:05:13.997264|3:17:36.980000|85|89|87|84|0.5378074916368187|0.0|0|0.0|29.8|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|52.0|45.5|42.0|43.5|43.75|1299|0|OFF|MAXN
2023-04-21 13:05:16.265856|3:17:39.990000|66|72|76|69|0.5389879442093284|0.0|0|0.0|21.6|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|52.0|45.0|42.5|42.5|43.75|1308|0|OFF|MAXN
2023-04-21 13:05:18.240921|3:17:41.990000|70|72|70|67|0.539118996122637|0.0|0|0.0|20.6|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|51.5|45.5|42.0|42.5|43.5|1299|0|OFF|MAXN
2023-04-21 13:05:20.218257|3:17:43.990000|65|71|67|72|0.5393899681238391|0.0|0|0.0|24.2|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|52.5|45.0|42.5|43.0|44.0|1299|0|OFF|MAXN
2023-04-21 13:05:22.201142|3:17:45.990000|72|74|71|67|0.540270873465929|0.0|0|0.0|23.2|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|52.0|45.0|42.0|43.0|44.0|1443|0|OFF|MAXN
2023-04-21 13:05:24.239514|3:17:48|70|72|76|69|0.5409123380942292|0.0|0|0.0|61.4|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|52.0|45.5|42.5|43.0|44.0|1299|0|OFF|MAXN
2023-04-21 13:05:26.253708|3:17:50|70|72|66|70|0.5412512994339148|0.0|0|0.0|57.7|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|52.5|45.0|42.5|43.0|43.75|1299|0|OFF|MAXN
2023-04-21 13:05:28.348704|3:17:52|71|68|73|72|0.5416671182866687|0.0|0|0.0|26.2|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|52.5|45.0|42.5|43.0|43.5|1299|0|OFF|MAXN
2023-04-21 13:05:30.314628|3:17:54|73|69|71|66|0.5420809664339592|0.0|0|0.0|32.9|OFF|OFF|OFF|OFF|OFF|OFF|OFF|0.0|52.5|45.0|42.5|43.5|44.0|1299|0|OFF|MAXN
