time|temperature|acceleration|magnetic|gyro|euler|quaternion|linear_acceleration|gravity
2023-04-21 13:05:20.262369|31|(-0.31, -0.01, 9.69)|(-31.375, 7.75, -17.1875)|(-0.001090830782496456, 0.004363323129985824, 0.002181661564992912)|(0.0, -2.3125, 0.6875)|(0.999755859375, -0.00634765625, 0.0203857421875, -6.103515625e-05)|(0.03, 0.05, -0.18)|(-0.39, -0.12, 9.790000000000001)
2023-04-21 13:05:20.403821|31|(-0.36, -0.11, 9.81)|(-29.1875, 7.75, -16.5)|(-0.00545415391248228, 0.00545415391248228, -0.002181661564992912)|(0.0, -2.3125, 0.6875)|(0.999755859375, -0.00640869140625, 0.0203857421875, -6.103515625e-05)|(0.0, 0.12, -0.2)|(-0.39, -0.12, 9.790000000000001)
2023-04-21 13:05:20.568023|31|(-0.35000000000000003, -0.06, 9.61)|(-30.25, 8.875, -20.0)|(-0.007635815477475192, -0.004363323129985824, 0.0)|(0.0, -2.3125, 0.6875)|(0.999755859375, -0.00640869140625, 0.0205078125, -6.103515625e-05)|(-0.01, -0.09, -0.09)|(-0.4, -0.12, 9.790000000000001)
2023-04-21 13:05:20.736663|31|(-0.31, -0.05, 9.64)|(-33.5625, 2.5625, -18.0)|(0.004363323129985824, 0.006544984694978736, -0.001090830782496456)|(0.0, -2.3125, 0.6875)|(0.999755859375, -0.00640869140625, 0.0205078125, -6.103515625e-05)|(0.0, 0.0, 0.0)|(-0.4, -0.12, 9.790000000000001)
2023-04-21 13:05:20.875250|31|(-0.44, -0.19, 9.76)|(-34.0, 5.5625, -19.1875)|(0.001090830782496456, 0.0, -0.002181661564992912)|(0.0, -2.3125, 0.6875)|(0.999755859375, -0.00640869140625, 0.0205078125, -6.103515625e-05)|(0.04, -0.02, -0.22)|(-0.4, -0.12, 9.790000000000001)
2023-04-21 13:05:21.100284|31|(-0.29, -0.09, 9.56)|(-36.25, 4.0625, -14.5)|(0.0, -0.00545415391248228, 0.0)|(0.0, -2.3125, 0.6875)|(0.999755859375, -0.00640869140625, 0.0203857421875, -6.103515625e-05)|(0.02, 0.0, -0.06)|(-0.39, -0.12, 9.790000000000001)
2023-04-21 13:05:21.271131|31|(-0.35000000000000003, -0.22, 9.72)|(-35.0625, 4.875, -14.875)|(-0.002181661564992912, -0.007635815477475192, 0.0)|(0.0, -2.3125, 0.6875)|(0.999755859375, -0.00640869140625, 0.0203857421875, -6.103515625e-05)|(0.07, -0.01, -0.12)|(-0.39, -0.12, 9.790000000000001)
2023-04-21 13:05:21.419390|31|(-0.35000000000000003, -0.13, 9.69)|(-32.1875, 8.5625, -15.6875)|(0.00545415391248228, -0.002181661564992912, 0.00545415391248228)|(0.0, -2.3125, 0.6875)|(0.999755859375, -0.00640869140625, 0.0203857421875, -6.103515625e-05)|(0.04, -0.01, -0.16)|(-0.39, -0.12, 9.790000000000001)
2023-04-21 13:05:21.576527|31|(-0.25, -0.18, 9.700000000000001)|(-27.0, 3.75, -8.5)|(0.0, 0.006544984694978736, 0.003272492347489368)|(0.0, -2.3125, 0.6875)|(0.999755859375, -0.00640869140625, 0.02044677734375, -6.103515625e-05)|(0.09, 0.0, -0.12)|(-0.39, -0.12, 9.790000000000001)
2023-04-21 13:05:21.769330|31|(-0.27, -0.09, 9.64)|(-32.5, 4.875, -16.5)|(-0.003272492347489368, 0.011999138607461015, 0.001090830782496456)|(0.0, -2.3125, 0.6875)|(0.999755859375, -0.00640869140625, 0.02056884765625, -6.103515625e-05)|(0.0, 0.0, -0.1)|(-0.4, -0.12, 9.790000000000001)
2023-04-21 13:05:21.881037|31|(-0.31, -0.05, 9.61)|(-28.75, -1.0625, -8.875)|(0.004363323129985824, -0.006544984694978736, 0.001090830782496456)|(0.0, -2.3125, 0.6875)|(0.999755859375, -0.00640869140625, 0.0205078125, -6.103515625e-05)|(-0.06, -0.01, -0.07)|(-0.4, -0.12, 9.790000000000001)
2023-04-21 13:05:22.116970|31|(-0.47000000000000003, -0.12, 9.71)|(-26.25, 1.1875, -8.0)|(0.004363323129985824, -0.018544123302439753, 0.002181661564992912)|(0.0, -2.3125, 0.6875)|(0.999755859375, -0.00640869140625, 0.02032470703125, -6.103515625e-05)|(0.09, -0.04, -0.09)|(-0.39, -0.12, 9.790000000000001)
2023-04-21 13:05:22.220292|31|(-0.27, -0.01, 9.66)|(-27.0, 1.5625, -6.5)|(-0.004363323129985824, -0.004363323129985824, 0.004363323129985824)|(0.0, -2.25, 0.6875)|(0.999755859375, -0.00634765625, 0.02008056640625, -6.103515625e-05)|(-0.05, 0.0, 0.01)|(-0.39, -0.12, 9.790000000000001)
2023-04-21 13:05:22.360869|31|(-0.35000000000000003, -0.09, 9.66)|(-30.6875, 8.5625, -16.5)|(0.001090830782496456, 0.011999138607461015, 0.001090830782496456)|(0.0, -2.25, 0.6875)|(0.999755859375, -0.00628662109375, 0.01995849609375, -6.103515625e-05)|(-0.09, 0.0, -0.01)|(-0.39, -0.12, 9.790000000000001)
2023-04-21 13:05:22.568863|31|(-0.35000000000000003, -0.03, 9.65)|(-30.6875, 6.6875, -12.0)|(-0.002181661564992912, -0.009817477042468103, 0.0)|(0.0, -2.25, 0.6875)|(0.999755859375, -0.00628662109375, 0.02001953125, -6.103515625e-05)|(-0.04, 0.02, -0.01)|(-0.39, -0.12, 9.790000000000001)
