time|pid_servo_Kp|pid_servo_Ki|pid_servo_Kd|pid_servo_setpoint|pid_servo_measured_value|pid_servo_actuated_value|pid_motor_Kp|pid_motor_Ki|pid_motor_Kd|pid_motor_setpoint|pid_motor_measured_value|pid_motor_actuated_value
2023-04-21 13:05:12.029817|3.5|0|0.5|0|0|0.0|1|0|0|0.1|0.0|0.1
2023-04-21 13:05:12.094065|3.5|0|0.5|0|0|0.0|1|0|0|0.1|0.0|0.1
2023-04-21 13:05:12.134446|3.5|0|0.5|0|0|0.0|1|0|0|0.1|0.0|0.1
2023-04-21 13:05:12.171426|3.5|0|0.5|0|0|0.0|1|0|0|0.1|0.0|0.1
2023-04-21 13:05:12.245277|3.5|0|0.5|0|0|0.0|1|0|0|0.1|0.0|0.1
2023-04-21 13:05:12.284692|3.5|0|0.5|0|0|0.0|1|0|0|0.1|0.0|0.1
2023-04-21 13:05:12.374360|3.5|0|0.5|0|0.0625|-0.4873109151756838|1|0|0|0.1|0.0|0.1
2023-04-21 13:05:12.388489|3.5|0|0.5|0|0.0625|-0.4873109151756838|1|0|0|0.1|0.0|0.1
2023-04-21 13:05:12.444607|3.5|0|0.5|0|0.0625|-0.4873109151756838|1|0|0|0.1|0.0|0.1
2023-04-21 13:05:12.448068|3.5|0|0.5|0|0.0625|-0.4873109151756838|1|0|0|0.1|0.0|0.1
2023-04-21 13:05:22.712789|3.5|0|0.5|0|0.0625|-0.21875|1|0|0|0.1|0.0|0.1
2023-04-21 13:05:22.725875|3.5|0|0.5|0|0.0|0.0030444352254048973|1|0|0|0.1|0.0|0.1
2023-04-21 13:05:22.743111|3.5|0|0.5|0|0.0|0.0030444352254048973|1|0|0|0.1|0.0|0.1
2023-04-21 13:05:22.760884|3.5|0|0.5|0|0.0|0.0030444352254048973|1|0|0|0.1|0.0|0.1
2023-04-21 13:05:22.772331|3.5|0|0.5|0|0.0|0.0030444352254048973|1|0|0|0.1|0.0|0.1
2023-04-21 13:05:22.800704|3.5|0|0.5|0|0.0|0.0030444352254048973|1|0|0|0.1|0.0|0.1
2023-04-21 13:05:22.838745|3.5|0|0.5|0|0.0|0.0|1|0|0|0.1|8.099999999999996|0.1
2023-04-21 13:05:22.882974|3.5|0|0.5|0|0.0|0.0|1|0|0|0.1|8.099999999999996|0
2023-04-21 13:05:22.906230|3.5|0|0.5|0|0.0|0.0|1|0|0|0.1|8.099999999999996|0
2023-04-21 13:05:22.943746|3.5|0|0.5|0|0.0|0.0|1|0|0|0.1|8.100000000000007|0
