time|temperature|acceleration|magnetic|gyro|euler|quaternion|linear_acceleration|gravity
2023-04-21 12:59:14.996771|30|(-0.17, 0.05, 9.51)|(-27.6875, 1.75, -5.875)|(-0.00545415391248228, -0.013089969389957472, 0.0)|(359.9375, -1.8125, 0.6875)|(0.9998779296875, -0.00628662109375, 0.01617431640625, 0.0)|(0.0, 0.02, -0.11)|(-0.31, -0.12, 9.8)
2023-04-21 12:59:15.831683|30|(-0.32, -0.08, 9.69)|(-28.375, 0.25, -4.75)|(-0.001090830782496456, 0.004363323129985824, 0.0)|(359.9375, -1.8125, 0.6875)|(0.9998779296875, -0.0062255859375, 0.01617431640625, 0.0)|(-0.04, 0.03, -0.1)|(-0.33, -0.12, 9.8)
2023-04-21 12:59:16.113062|30|(-0.47000000000000003, -0.04, 9.700000000000001)|(-28.5625, 2.0625, -7.6875)|(-0.003272492347489368, -0.003272492347489368, -0.002181661564992912)|(359.9375, -1.75, 0.6875)|(0.9998779296875, -0.00616455078125, 0.0155029296875, 0.0)|(0.14, 0.01, -0.18)|(-0.28, -0.12, 9.8)
2023-04-21 12:59:16.459297|30|(-0.31, -0.1, 9.67)|(-29.0, 1.5, -6.5)|(0.001090830782496456, 0.004363323129985824, 0.002181661564992912)|(359.9375, -1.5, 0.6875)|(0.9998779296875, -0.00616455078125, 0.01312255859375, 0.0)|(0.02, -0.03, -0.11)|(-0.25, -0.12, 9.8)
2023-04-21 12:59:16.921137|30|(-0.27, -0.15, 9.700000000000001)|(-29.0625, 2.5625, -7.25)|(0.003272492347489368, 0.019634954084936207, 0.0)|(359.9375, -1.75, 0.6875)|(0.9998779296875, -0.00616455078125, 0.015869140625, 0.0)|(-0.04, 0.02, -0.14)|(-0.32, -0.12, 9.8)
2023-04-21 12:59:17.259220|30|(-0.62, -0.12, 9.67)|(-28.0, 0.75, -5.1875)|(0.003272492347489368, -0.06217735460229799, -0.003272492347489368)|(359.9375, -1.8125, 0.6875)|(0.9998779296875, -0.00616455078125, 0.01416015625, 0.0)|(0.03, 0.03, -0.1)|(-0.25, -0.11, 9.8)
2023-04-21 12:59:17.585237|30|(0.07, -0.01, 9.76)|(-27.5625, 2.1875, -6.0625)|(0.011999138607461015, 0.06981317007977318, 0.01090830782496456)|(359.9375, -1.75, 0.625)|(0.9998779296875, -0.0059814453125, 0.01531982421875, 0.0001220703125)|(0.25, 0.05, -0.03)|(-0.32, -0.11, 9.8)
2023-04-21 12:59:17.887932|30|(-1.04, 0.04, 9.67)|(-25.25, 0.6875, -5.0)|(-0.00545415391248228, -0.13744467859455345, -0.013089969389957472)|(0.0, -1.5625, 0.625)|(0.9998779296875, -0.005859375, 0.013916015625, -0.00079345703125)|(-0.62, 0.24, -0.22)|(-0.26, -0.11, 9.8)
2023-04-21 12:59:18.202221|30|(0.11, -0.02, 9.59)|(-31.6875, 4.75, -14.75)|(0.00545415391248228, 0.05672320068981571, 0.011999138607461015)|(0.0625, -1.5625, 0.625)|(0.9998779296875, -0.005859375, 0.01422119140625, -0.00079345703125)|(-0.17, -0.04, -0.08)|(-0.26, -0.11, 9.8)
2023-04-21 12:59:18.429791|30|(0.11, -0.3, 9.73)|(-30.875, 4.75, -17.5)|(-0.007635815477475192, 0.14508049407202864, -0.006544984694978736)|(0.0625, -2.25, 0.625)|(0.999755859375, -0.00567626953125, 0.02142333984375, -0.000732421875)|(-0.24, 0.08, -0.15)|(-0.46, -0.09, 9.790000000000001)
