time|position
2023-04-21 12:59:27.810812|0
2023-04-21 12:59:27.835753|0
2023-04-21 12:59:27.859522|0
2023-04-21 12:59:27.879733|0
2023-04-21 12:59:27.916482|0
2023-04-21 12:59:27.927188|0
2023-04-21 12:59:27.938815|0
2023-04-21 12:59:27.957396|0
2023-04-21 12:59:27.969039|0
2023-04-21 12:59:27.983110|0
2023-04-21 12:59:28.000549|0
2023-04-21 12:59:28.011018|0
2023-04-21 12:59:28.014224|0
2023-04-21 12:59:28.034410|0
2023-04-21 12:59:28.053899|0
2023-04-21 12:59:28.056095|0
2023-04-21 12:59:28.080821|0
2023-04-21 12:59:28.089303|0
2023-04-21 12:59:28.103820|0
2023-04-21 12:59:28.109281|0
2023-04-21 12:59:28.116372|0
2023-04-21 12:59:28.128724|0
2023-04-21 12:59:28.154313|0
2023-04-21 12:59:28.168368|0
2023-04-21 12:59:28.181684|0
2023-04-21 12:59:28.187232|0
2023-04-21 12:59:28.206501|0
2023-04-21 12:59:28.217068|0
2023-04-21 12:59:28.229848|0
2023-04-21 12:59:28.240242|0
2023-04-21 12:59:28.249316|0
2023-04-21 12:59:28.257929|0
2023-04-21 12:59:28.317231|0
2023-04-21 12:59:28.329120|0
2023-04-21 12:59:28.358283|0
2023-04-21 12:59:28.366380|0
2023-04-21 12:59:28.382475|0
2023-04-21 12:59:28.393819|0
2023-04-21 12:59:28.413290|0
2023-04-21 12:59:28.417693|0
2023-04-21 12:59:28.433732|0
2023-04-21 12:59:28.446028|0
2023-04-21 12:59:28.459313|0
2023-04-21 12:59:28.466642|0
2023-04-21 12:59:28.480657|0
2023-04-21 12:59:28.487505|0
2023-04-21 12:59:28.499587|0
2023-04-21 12:59:28.509382|0
2023-04-21 12:59:28.517031|0
2023-04-21 12:59:28.525269|0
2023-04-21 12:59:28.536504|0
2023-04-21 12:59:28.551221|0
2023-04-21 12:59:28.560663|0
2023-04-21 12:59:28.575537|0
2023-04-21 12:59:28.586584|0
2023-04-21 12:59:28.596126|0
2023-04-21 12:59:28.610957|0
2023-04-21 12:59:28.618696|0
2023-04-21 12:59:28.627464|0
2023-04-21 12:59:28.637424|0
2023-04-21 12:59:28.661510|0
2023-04-21 12:59:28.674517|0
2023-04-21 12:59:28.689821|0
2023-04-21 12:59:28.698514|0
2023-04-21 12:59:28.708943|0
2023-04-21 12:59:28.717872|0
2023-04-21 12:59:28.725838|0
2023-04-21 12:59:28.734564|0
2023-04-21 12:59:28.750573|0
2023-04-21 12:59:28.754936|0
2023-04-21 12:59:28.773449|0
2023-04-21 12:59:28.784327|0
2023-04-21 12:59:28.799294|0
2023-04-21 12:59:28.812805|0
2023-04-21 12:59:28.817693|0
2023-04-21 12:59:28.833110|0
2023-04-21 12:59:28.835212|0
2023-04-21 12:59:28.850343|0
2023-04-21 12:59:28.862961|0
2023-04-21 12:59:28.885571|0
2023-04-21 12:59:28.894823|0
2023-04-21 12:59:28.904771|0
2023-04-21 12:59:28.927627|0
2023-04-21 12:59:28.942219|0
2023-04-21 12:59:28.951152|0
2023-04-21 12:59:28.959311|0
2023-04-21 12:59:28.965514|0
2023-04-21 12:59:28.982268|0
2023-04-21 12:59:28.991021|0
2023-04-21 12:59:28.999303|0
2023-04-21 12:59:29.009948|0
2023-04-21 12:59:29.014426|0
2023-04-21 12:59:29.038051|0
2023-04-21 12:59:29.047319|0
2023-04-21 12:59:29.057700|0
2023-04-21 12:59:29.074570|0
2023-04-21 12:59:29.084343|0
2023-04-21 12:59:29.101466|0
2023-04-21 12:59:29.129186|0
2023-04-21 12:59:29.154438|0
2023-04-21 12:59:29.207432|0
2023-04-21 12:59:29.218285|0
2023-04-21 12:59:29.227829|0
2023-04-21 12:59:29.239835|0
2023-04-21 12:59:29.255200|0
2023-04-21 12:59:29.265497|0
2023-04-21 12:59:29.285307|0
2023-04-21 12:59:29.301272|0
2023-04-21 12:59:29.309314|0
2023-04-21 12:59:29.315669|0
2023-04-21 12:59:29.328745|0
2023-04-21 12:59:29.344127|0
2023-04-21 12:59:29.357985|0
2023-04-21 12:59:29.369534|0
2023-04-21 12:59:29.379406|0
2023-04-21 12:59:29.389314|0
2023-04-21 12:59:29.400268|0
2023-04-21 12:59:29.409672|0
2023-04-21 12:59:29.419013|0
2023-04-21 12:59:29.442611|0
2023-04-21 12:59:29.459829|0
2023-04-21 12:59:29.490697|0
2023-04-21 12:59:29.503163|0
2023-04-21 12:59:29.518307|0
2023-04-21 12:59:29.527266|0
2023-04-21 12:59:29.538329|0
2023-04-21 12:59:29.544520|0
2023-04-21 12:59:29.576787|0
2023-04-21 12:59:29.591818|0
2023-04-21 12:59:29.604339|0
2023-04-21 12:59:29.645550|0
2023-04-21 12:59:29.676131|0
2023-04-21 12:59:29.739515|0
2023-04-21 12:59:29.746975|0
2023-04-21 12:59:29.771758|0
2023-04-21 12:59:29.786799|0
2023-04-21 12:59:29.795059|0
2023-04-21 12:59:29.808675|0
2023-04-21 12:59:29.818685|0
2023-04-21 12:59:29.825838|0
2023-04-21 12:59:29.836598|0
2023-04-21 12:59:29.858927|0
2023-04-21 12:59:29.875643|0
2023-04-21 12:59:29.889157|0
2023-04-21 12:59:29.897176|0
2023-04-21 12:59:29.913490|0
2023-04-21 12:59:29.925689|0
2023-04-21 12:59:29.942057|0
2023-04-21 12:59:29.949295|0
2023-04-21 12:59:29.975958|0
2023-04-21 12:59:29.986106|0
2023-04-21 12:59:29.997121|0
2023-04-21 12:59:30.007282|0
2023-04-21 12:59:30.019822|0
2023-04-21 12:59:30.030925|0
2023-04-21 12:59:30.045336|0
2023-04-21 12:59:30.059004|0
2023-04-21 12:59:30.078501|0
2023-04-21 12:59:30.087768|0
2023-04-21 12:59:30.095658|0
2023-04-21 12:59:30.119795|0
2023-04-21 12:59:30.137559|0
2023-04-21 12:59:30.144263|0
2023-04-21 12:59:30.160942|0
2023-04-21 12:59:30.170120|0
2023-04-21 12:59:30.185139|0
2023-04-21 12:59:30.199292|0
2023-04-21 12:59:30.222110|0
2023-04-21 12:59:30.228852|0
2023-04-21 12:59:30.244999|0
2023-04-21 12:59:30.254741|0
2023-04-21 12:59:30.268383|0
2023-04-21 12:59:30.277572|0
2023-04-21 12:59:30.292594|0
2023-04-21 12:59:30.294224|0
